ARJO B,NASDAQ STOCKHOLM AB
ERG,ELECTRONIC SHARE MARKET
TGS,OSLO BORS ASA
SCHP,EURONEXT - EURONEXT PARIS
BCHN,SIX SWISS EXCHANGE
BNR,XETRA
VZN,SIX SWISS EXCHANGE
BKW,SIX SWISS EXCHANGE
FNTN,XETRA
SK3,IRISH STOCK EXCHANGE - ALL MARKET
VRLA,EURONEXT - EURONEXT PARIS
ADYEN,EURONEXT - EURONEXT AMSTERDAM
CEY,LONDON STOCK EXCHANGE
ALLFG,EURONEXT - EURONEXT AMSTERDAM
YKBNK.E,BORSA ISTANBUL - EQUITY MARKET
MOL,ELECTRONIC SHARE MARKET
STF,EURONEXT - EURONEXT PARIS
STMN,SIX SWISS EXCHANGE
ELPE,ATHENS EXCHANGE S.A. CASH MARKET
BGEO,LONDON STOCK EXCHANGE
UNI,BOLSA DE MADRID
BC,ELECTRONIC SHARE MARKET
A2A,ELECTRONIC SHARE MARKET
SCMN,SIX SWISS EXCHANGE
KBC,EURONEXT - EURONEXT BRUSSELS
CVSG,LONDON STOCK EXCHANGE
ERA,EURONEXT - EURONEXT PARIS
AKBNK.E,BORSA ISTANBUL - EQUITY MARKET
AFRY,NASDAQ STOCKHOLM AB
PTEC,LONDON STOCK EXCHANGE
ARCLK.E,BORSA ISTANBUL - EQUITY MARKET
SOW,XETRA
AJB,LONDON STOCK EXCHANGE
AKCNS.E,BORSA ISTANBUL - EQUITY MARKET
ACE,ELECTRONIC SHARE MARKET
ACA,EURONEXT - EURONEXT PARIS
ELG,XETRA
BALD B,NASDAQ STOCKHOLM AB
SII,EURONEXT - EURONEXT PARIS
ALC,SIX SWISS EXCHANGE
MOVE,SIX SWISS EXCHANGE
CARM,EURONEXT - EURONEXT PARIS
YSN,XETRA
PKN,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
AKSEN.E,BORSA ISTANBUL - EQUITY MARKET
ISCTR.E,BORSA ISTANBUL - EQUITY MARKET
KEMIRA,NASDAQ HELSINKI LTD
KCHOL.E,BORSA ISTANBUL - EQUITY MARKET
PRX,EURONEXT - EURONEXT AMSTERDAM
FLNG,OSLO BORS ASA
TRNFP,MOSCOW EXCHANGE - ALL MARKETS
FPE3,XETRA
MYCR,NASDAQ STOCKHOLM AB
SIX2,XETRA
AFX,XETRA
BC8,XETRA
FROTO.E,BORSA ISTANBUL - EQUITY MARKET
KWS,XETRA
NRO,EURONEXT - EURONEXT PARIS
SANOMA,NASDAQ HELSINKI LTD
BWLPG,OSLO BORS ASA
TUPRS.E,BORSA ISTANBUL - EQUITY MARKET
VALMT,NASDAQ HELSINKI LTD
VAIAS,NASDAQ HELSINKI LTD
VID,BOLSA DE MADRID
PNDORA,NASDAQ COPENHAGEN A/S
TEP,LONDON STOCK EXCHANGE
